ID,area,perimeter,equivalent_diameter,orientation,aspect_ratio,circularity,solidity,morphology_class
47,1645,190.12489168102783,45.76547881416016,-0.17198274776200762,3.275037592644078,0.5718706488556301,0.9362549800796812,Deformed
48,2065,225.92388155425118,51.27611198090307,1.3030925177669248,3.637171856482583,0.5084001126184735,0.9399180700955849,Deformed
49,1563,191.53910524340094,44.610238829455504,-1.3151474006448531,3.5585056929503565,0.5353698791825272,0.941566265060241,Deformed
50,2791,295.095454429505,59.612176351445505,1.4158193358823288,5.233776858888122,0.4027584500873934,0.8754705144291092,Deformed
51,1281,161.53910524340094,40.38588685179197,0.23833463971065946,2.734223761853575,0.6168842010652988,0.9432989690721649,Small
52,1364,208.12489168102786,41.6737176049697,1.3999234180305835,3.471156955181843,0.39570923392446816,0.844059405940594,Deformed
53,1408,159.49747468305833,42.34053942720982,1.442663100602774,2.421953614488974,0.6955124304508231,0.9637234770704997,Small
54,1174,136.3259018078045,38.66242653428625,1.5030886368640404,1.821140066136031,0.793818475232864,0.9638752052545156,Small
55,2371,273.82337649086287,54.94407120488134,-1.447051987289942,4.42232479592305,0.39737484836435183,0.8510409188801149,Deformed
56,1142,138.3259018078045,38.13187066074199,-1.4671495006768698,1.9601163243776059,0.750013269972827,0.9485049833887044,Small
57,1310,150.9116882454314,40.84046772017998,-1.5679065090583384,2.158302254308361,0.722828727599504,0.9424460431654677,Small
58,2451,250.20815280171308,55.86331644420947,-1.1908499502162257,3.678588289016298,0.4919831875185631,0.9224689499435453,Deformed
59,1287,151.25483399593904,40.48035689163516,-1.54197192997018,2.50650409109395,0.706919374247444,0.9583023082650782,Small
60,1419,162.5096679918781,42.505610382385946,0.07030233542131055,1.8606560341995249,0.6752022073407266,0.9055520102105935,Small
61,913,162.2253967444162,34.09498063268556,1.2424775719665173,2.5764543574319747,0.4359562935845608,0.8247515808491418,Small
62,1235,178.5685424949238,39.65414023463283,1.4470324843213296,4.2166289761612035,0.4867062395389097,0.9094256259204713,Deformed
63,1166,142.81118318204307,38.530472475187736,1.4028787449055207,2.2162309829881637,0.71842920714292,0.9410815173527038,Small
64,3388,482.5401512639275,65.67903453586031,1.4363291903995308,8.89466059127339,0.18284637455648786,0.6615895332942785,Elongated
65,754,109.08326112068522,30.984231743425763,0.007121723789287806,1.8048289267455582,0.7962784893951937,0.9544303797468354,Small
66,615,92.76955262170048,27.982893345973448,-1.561467980451558,1.4392916432195413,0.897995282854578,0.9639498432601881,Small
67,946,124.32590180780453,34.70568554746418,1.4210351822712473,2.03193546506796,0.7690910619772137,0.9565217391304348,Small
68,384,72.04163056034263,22.111625566165472,-1.1740261760655177,1.155877688214134,0.9297667704582101,0.9672544080604534,Small
69,1542,183.29646455628162,44.30954048488453,1.4121266748079753,2.9219988604490426,0.5767479520752351,0.9001751313485113,Deformed
70,2627,228.49242404917499,57.834248365646395,0.8406505653379044,2.6867563458350623,0.6323045786873143,0.9429289303661162,Deformed
71,1141,146.5685424949238,38.11517178949638,-1.364874340674441,2.6240421839437897,0.6674426733812029,0.9564124056999161,Small
72,1474,171.98275605729688,43.32153147038583,1.449569420717395,2.917519868976652,0.6262352918699725,0.9430582213691618,Small
73,1371,169.88225099390854,41.780514786583325,-1.4734511145445468,2.8092667581978774,0.5969683481490653,0.9301221166892809,Small
74,794,107.25483399593904,31.79547449747714,1.4551420865623075,1.283850309650953,0.8673544607577586,0.9589371980676329,Small
75,1867,187.05382386916236,48.75590456570926,-0.13563027516075077,2.459208404569328,0.6705343033468435,0.9535240040858018,Deformed
76,1566,181.53910524340097,44.653030435293694,0.11351341817823893,2.8854651668641202,0.5971194814104618,0.925531914893617,Deformed
77,991,127.29646455628165,35.52154823248202,-0.6347646289218268,1.8937885139679027,0.7685123207042678,0.951969260326609,Small
78,2616,296.8711037056153,57.71303708025757,-1.1432339351772496,5.380607626016874,0.37300250589672135,0.9208025343189018,Deformed
79,2214,240.49242404917499,53.09380709690773,-1.0075598989014645,3.7940975540373167,0.4810438656815707,0.8827751196172249,Deformed
80,826,111.49747468305833,32.429860683500394,1.509470504128719,1.555069239305436,0.8349488081359905,0.9615832363213038,Small
81,844,123.05382386916239,32.78130832893156,1.27029311955166,1.9425926066795292,0.700425716328882,0.9377777777777778,Small
82,986,137.09545442950497,35.43182455235505,-0.6694232435802393,2.4410289771452356,0.6592356242711289,0.941738299904489,Small
83,2721,265.7228714274745,58.859874288214186,-1.2836753955467668,4.0028109558292915,0.4842621570261293,0.9560787069571328,Deformed
